0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
1090.0547,451.56027,0.0,0.0,1082.8126,437.67865,0.0,0.0,1072.4395,437.22998,944.3658,468.0394,1065.1636,484.3201,945.0715,600.469,1060.8325,622.2242,0.0,0.0,1063.6611,711.0187,783.49115,564.33746,866.00574,570.86975,859.0705,739.3078,970.54065,760.94226,839.09436,933.659,943.16516,960.95233
1087.4202,469.1211,0.0,0.0,1081.7977,455.3498,0.0,0.0,1071.4941,449.35117,935.1738,474.11526,1061.1475,498.54825,891.5056,615.8634,1055.4648,666.2016,921.67096,732.86743,1050.7426,777.8187,781.045,583.2353,868.8681,591.15454,852.70074,736.2819,974.85223,750.59216,828.5724,931.0031,939.0663,950.3226
1093.5011,474.96606,0.0,0.0,1084.8728,461.95792,0.0,0.0,1071.25,463.34055,958.336,497.15588,1061.6927,511.0568,946.0628,651.4483,1062.481,671.84314,0.0,0.0,1047.9235,786.31476,783.2247,581.97986,856.7278,584.78015,857.95734,745.52625,977.28265,761.5087,820.35223,934.32477,940.3034,961.96106
1090.8555,485.39804,0.0,0.0,1081.9116,472.88144,0.0,0.0,1066.225,474.92963,953.77356,504.9021,1057.8486,521.43115,943.70233,650.7183,1062.4882,675.8104,0.0,0.0,1052.555,783.7907,782.97186,587.7722,856.917,591.9007,856.7899,743.0744,977.24457,760.47253,820.0487,932.0039,942.07196,960.9972
1087.1093,496.7399,0.0,0.0,1078.9554,483.45145,0.0,0.0,1059.6031,481.3996,948.6385,501.14038,1053.8917,533.5979,936.25714,635.0326,1064.4342,692.8634,0.0,0.0,1049.5411,806.6373,794.8281,579.4926,868.69446,590.2971,868.7126,736.866,979.89075,758.4412,817.36676,935.3863,943.4967,963.21936
0.0,0.0,0.0,0.0,1087.0969,497.68387,0.0,0.0,1078.4657,497.01453,952.83075,515.8393,1064.0104,538.38464,941.23737,658.9273,1059.0995,698.6934,984.3814,779.79736,1051.7665,799.2537,778.2763,592.9065,856.70807,598.7952,864.64935,749.5803,983.2447,765.0989,828.0409,933.53687,945.8295,958.4191
1092.1498,513.5253,0.0,0.0,1084.7931,500.72977,0.0,0.0,1072.6663,500.13336,950.38403,518.3511,1061.1559,544.5052,932.007,663.8826,1059.5631,712.3136,0.0,0.0,1052.2701,809.95953,776.88336,596.293,854.0387,603.5927,869.5826,750.0956,984.7687,765.5915,831.6098,934.9497,945.1337,958.60223
1089.6654,517.9798,0.0,0.0,1081.236,503.7867,0.0,0.0,1064.0223,500.53217,939.467,515.0261,1058.6067,551.59186,919.0966,657.45404,1068.074,730.61444,0.0,0.0,1055.5942,829.7778,774.7718,587.71063,855.3649,598.98364,872.6149,744.82056,981.17834,760.9982,832.2666,943.5574,945.9601,962.343
1086.9913,522.23785,0.0,0.0,1076.1333,507.58273,0.0,0.0,1060.9194,501.167,943.84375,519.3727,1058.4014,545.4495,897.82947,658.68555,1064.0698,720.63403,931.55054,760.8146,1056.1194,822.3062,781.24646,602.6935,860.27496,609.9452,876.4518,747.51526,988.60626,752.3092,831.6663,941.3473,937.2131,945.213
1091.2247,516.2176,0.0,0.0,1081.0214,501.91638,0.0,0.0,1065.0825,498.0346,942.22485,517.54694,1059.8455,545.94293,897.8194,653.94885,1063.6309,720.36475,927.69,753.5156,1055.499,819.73193,780.5048,604.59265,861.5709,612.775,875.5347,745.988,988.6624,752.4562,832.6002,939.7645,936.1994,944.8964
1096.1249,505.17923,0.0,0.0,1088.5693,491.6552,0.0,0.0,1075.314,492.67047,943.56537,517.799,1065.0762,541.6901,908.6373,660.21606,1062.195,711.85,958.33264,768.6686,1060.96,813.5468,776.0407,598.75696,860.4538,605.94824,870.8793,742.04724,988.615,750.9813,827.51666,934.1216,936.6658,944.6737
0.0,0.0,0.0,0.0,1093.9325,466.86813,0.0,0.0,1078.7172,468.58456,953.2958,501.3978,1067.6082,511.39526,0.0,0.0,1072.8069,647.09106,0.0,0.0,1067.1354,736.485,783.2523,592.26,862.7472,594.04047,866.49927,750.6902,982.52765,765.6979,827.3613,932.5981,941.2832,961.19824
0.0,0.0,0.0,0.0,1085.2833,429.10776,0.0,0.0,1075.7834,430.83398,941.6445,464.85858,1074.292,479.96347,939.2917,592.43713,1067.18,610.84076,0.0,0.0,1060.0858,703.8166,786.7369,572.94183,878.2885,578.3291,861.05804,745.5626,980.6018,762.2833,835.50494,939.4353,946.98193,957.6198
0.0,0.0,0.0,0.0,1083.4257,399.03418,0.0,0.0,1073.6027,402.21115,937.9289,436.20547,1072.2522,457.89505,0.0,0.0,1067.6371,610.423,0.0,0.0,1068.6263,724.8843,786.32574,552.3524,879.8176,559.71967,854.0047,740.0202,979.45807,755.2272,833.74866,945.7617,946.95685,955.8179
1092.5149,385.862,0.0,0.0,1083.5154,371.53116,0.0,0.0,1075.2627,379.7984,936.35394,416.26538,1074.6196,446.87128,919.2928,564.36273,1066.7867,618.3166,0.0,0.0,1072.5696,734.03064,785.96747,544.39,881.19916,554.4787,849.3617,739.25757,976.3154,753.34204,830.044,946.6086,945.8108,952.52673
0.0,0.0,0.0,0.0,1079.3547,364.44965,0.0,0.0,1077.3923,368.31738,927.9421,397.45596,1076.1388,434.02524,899.4927,543.1551,1065.2384,606.35626,944.6128,678.373,1075.5645,726.32697,787.1609,546.87177,889.1959,559.61536,846.2604,736.05597,976.8642,754.1571,833.1501,940.7558,949.2973,953.4776
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074.0775,336.09863,927.9676,382.94577,1067.3271,409.35562,903.3223,525.2349,1068.727,572.9637,0.0,0.0,1062.3395,702.0438,796.123,542.4146,892.0413,549.09436,843.1593,740.00665,966.5226,754.04504,830.4778,940.6004,949.9486,963.1234
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071.1344,310.6681,923.87354,364.21646,1056.3013,391.3885,910.20984,505.82578,1061.858,554.2885,967.4865,642.0388,1061.1406,677.1924,802.606,534.0065,896.7135,544.2508,844.2505,737.49817,964.251,751.38574,834.2285,942.7965,956.3494,954.7132
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074.1823,286.78568,918.2157,350.18884,1058.8169,377.43314,910.29865,498.49057,1063.5432,545.5885,973.9792,631.3603,1067.6748,662.77924,800.6107,531.8509,901.5471,542.6812,842.9661,734.4516,969.58014,753.0119,827.459,940.09753,953.85645,961.0214
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.0101,277.65814,918.95844,341.26212,1058.2528,367.10046,912.9276,484.6833,1062.7284,529.5401,983.174,617.41547,1071.7979,657.3153,804.65405,531.30914,905.3983,541.7525,841.5973,735.10187,971.1608,754.35486,823.9638,940.50494,954.2694,963.874
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1062.0319,257.03296,912.5929,323.72205,1052.9457,348.5831,896.8632,462.52478,1062.1547,506.03705,951.80145,583.4341,1073.2303,632.19824,815.15265,525.4741,915.0692,536.05457,845.7155,729.44,971.1087,751.95874,827.0614,932.97235,953.75555,965.3533
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1057.2843,241.68224,904.81714,309.20984,1048.6022,335.27997,898.2332,446.66135,1065.0713,496.004,0.0,0.0,1073.192,611.5163,813.97656,520.13983,916.3502,531.26154,849.685,726.8153,974.03015,749.2134,830.69037,931.80853,957.10876,964.4193
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1044.249,221.04736,899.61676,294.8804,1037.1017,313.90845,899.34906,434.21695,1064.581,470.7792,969.99176,535.64685,1079.189,596.4042,829.0782,514.25836,924.5085,520.5707,858.4291,726.3371,967.8899,744.38,838.03015,927.7191,945.80164,965.04895
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1036.2576,211.95534,888.6848,282.74048,1037.796,315.26367,869.1728,410.9925,1056.7638,477.131,911.1002,499.97397,1085.7052,587.56934,819.2419,515.5258,922.6394,528.9833,846.6425,723.57227,974.4481,754.5599,825.13477,917.3579,950.457,965.50543
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031.2227,196.48416,878.7776,275.65002,1034.4377,304.2029,862.16003,405.2343,1056.9761,463.7842,903.961,493.41486,1082.7532,573.4369,818.70123,513.86237,926.521,525.7823,843.3884,726.1358,971.4703,755.22565,823.33026,916.77435,950.0455,964.5392
